Source,End_Hour,Start_Hour,Date,Production
Solar,16,15,4/4/2023,10833
Wind,8,7,3/28/2024,15504
Wind,1,0,12/23/2022,11216
Wind,23,22,4/27/2025,3364
Wind,1,0,4/20/2020,5506
Wind,13,12,10/17/2022,6996
Wind,1,0,1/2/2025,12035
Solar,16,15,7/24/2020,6901
Wind,11,10,11/21/2020,4830
Wind,20,19,8/22/2022,2515
Wind,5,4,12/29/2022,11261
Wind,0,23,11/11/2022,4623
Wind,0,23,7/15/2021,5085
Wind,19,18,6/29/2020,8918
Wind,18,17,11/2/2020,8515
Wind,15,14,6/8/2022,10122
Wind,2,1,11/27/2020,1637
Wind,19,18,3/1/2022,1775
Solar,17,16,8/19/2025,6355
Wind,23,22,11/13/2022,2673
Wind,22,21,11/6/2025,2696
Solar,13,12,7/13/2022,6334
Wind,10,9,12/27/2021,8156
Wind,21,20,10/25/2021,3029
Wind,5,4,9/12/2023,705
Wind,5,4,4/2/2023,8890
Wind,3,2,9/28/2021,2108
Solar,15,14,5/17/2024,7184
Wind,2,1,11/13/2025,12913
Wind,17,16,10/13/2020,5579
Wind,23,22,2/17/2021,7964
Wind,19,18,10/9/2020,3322
Wind,21,20,2/19/2025,7629
Wind,17,16,11/16/2021,1087
Wind,0,23,12/30/2020,5476
Solar,15,14,7/14/2022,8923
Wind,14,13,3/19/2023,7895
Solar,12,11,7/24/2024,6845
Wind,21,20,10/31/2024,1073
Wind,20,19,5/9/2023,7431
Wind,7,6,3/9/2021,2088
Wind,21,20,5/6/2024,3270
Wind,18,17,10/26/2022,3223
Wind,13,12,12/7/2021,11221
Wind,0,23,5/5/2024,2081
Wind,19,18,4/23/2023,14741
Wind,20,19,11/2/2022,7737
Wind,16,15,3/14/2021,13538
Wind,11,10,11/29/2021,3702
Solar,15,14,6/14/2025,4546
Wind,10,9,4/28/2024,7916
Wind,2,1,5/13/2020,3264
Solar,17,16,6/4/2025,8625
Solar,13,12,6/23/2024,4144
Wind,11,10,1/24/2024,15539
Wind,5,4,10/14/2021,1720
Wind,0,23,10/8/2021,5380
Wind,0,23,3/17/2023,6418
Wind,6,5,8/28/2023,2801
Solar,13,12,9/7/2022,7186
Wind,12,11,12/23/2023,15819
Wind,11,10,8/5/2023,11382
Wind,0,23,5/28/2023,9894
Wind,2,1,7/20/2022,3765
Wind,3,2,1/18/2023,4661
Wind,3,2,9/29/2024,1731
Wind,13,12,2/23/2024,16403
Wind,0,23,10/4/2021,7024
Wind,1,0,10/20/2025,13425
Wind,9,8,3/24/2023,12405
Solar,19,18,7/23/2020,1954
Wind,0,23,5/13/2020,7165
Wind,0,23,9/6/2022,2214
Wind,8,7,2/17/2021,7775
Solar,13,12,5/29/2021,6169
Wind,22,21,7/25/2024,2257
Wind,21,20,4/16/2022,6001
Wind,6,5,7/28/2020,4107
Wind,20,19,5/31/2021,3587
Wind,22,21,6/27/2024,4170
Wind,23,22,10/23/2021,3701
Wind,21,20,11/22/2022,10307
Wind,21,20,3/26/2020,4960
Wind,8,7,8/9/2020,963
Wind,23,22,11/23/2025,6568
Wind,4,3,6/17/2022,3147
Wind,7,6,9/6/2020,1309
Wind,13,12,1/8/2023,13363
Wind,3,2,5/27/2020,4422
Wind,13,12,12/29/2023,15941
Wind,4,3,1/6/2022,2846
Wind,1,0,3/8/2025,10805
Solar,17,16,6/25/2023,8815
Wind,13,12,10/31/2023,11825
Wind,8,7,4/18/2021,2893
Wind,15,14,5/5/2020,6849
Solar,10,9,5/3/2023,7624
Wind,20,19,9/3/2023,5905
Wind,22,21,10/25/2024,1798
Wind,7,6,5/11/2022,3550
Wind,15,14,1/30/2025,8803
Wind,6,5,4/29/2020,4808
Wind,6,5,4/3/2020,2053
Wind,2,1,5/14/2020,7248
Wind,10,9,8/22/2020,7218
Wind,20,19,4/24/2021,6192
Wind,18,17,6/26/2025,14166
Wind,21,20,10/7/2020,4044
Wind,14,13,2/11/2020,14541
Wind,0,23,10/21/2024,6386
Wind,9,8,8/7/2022,5411
Wind,8,7,1/8/2021,1043
Solar,13,12,3/27/2020,5875
Solar,14,13,9/14/2022,6213
Wind,18,17,2/9/2021,5404
Wind,6,5,4/25/2021,8275
Wind,2,1,12/20/2022,13886
Wind,9,8,3/15/2023,3420
Wind,19,18,1/9/2024,3646
Solar,16,15,6/5/2021,5731
Wind,23,22,11/28/2024,4321
Wind,4,3,4/28/2020,3006
Wind,3,2,10/8/2025,730
Solar,13,12,7/24/2025,8701
Wind,21,20,5/18/2021,3351
Wind,7,6,4/7/2023,1998
Wind,19,18,2/28/2022,2179
Wind,0,23,11/3/2023,10599
Wind,0,23,4/28/2021,2245
Wind,20,19,10/22/2023,1963
Wind,17,16,12/4/2023,14332
Wind,11,10,3/12/2023,11363
Wind,17,16,6/10/2024,9028
Wind,8,7,12/7/2023,7243
Wind,14,13,1/11/2020,6243
Wind,19,18,6/20/2022,6057
